xid,addr,pocet_her,fid,ulice,cp_co,ku,cas
200,Na Florenci 1412,,,Na Florenci,1412/29,,bez omezení
201,Na poříčí 1052,,,Na poříčí,1052/42,,bez omezení
202,Freyova 945,,,Freyova,945/33,,bez omezení
203,Masarykovo nádraží,,,Masarykovo nádraží,,bez omezení
0,5. května 1640,151,,,,,
1,Kotorská 1598,133,,,,,
2,Revoluční 655,119,12.0,Revoluční ,655/1,,bez omezení
3,Mukařovského 2590,116,85.0,Mukařovského,2590/2,,bez omezení
4,Václavské náměstí 822,106,16.0,Václavské náměstí,822/35,,bez omezení
5,Archeologická 2256,104,81.0,Archeologická,2256/1,,bez omezení
6,Vodičkova 699,96,21.0,Vodičkova,699/30,,bez omezení
7,Chlumecká 765,95,88.0,Chlumecká,765/6,,bez omezení
8,V celnici 1028,93,15.0,V celnici,1028/10,,bez omezení
9,náměstí Republiky 1078,92,8.0,náměstí Republiky ,1078/1,,bez omezení
10,Kongresová 1655,89,,,,,
11,Vodičkova 791,86,20.0,Vodičkova,791/39- 41,,bez omezení
12,Pobřežní 311,86,40.0,Pobřežní,311/1,,bez omezení
13,Jílovská 452,84,,,,,
14,Na příkopě 959,70,7.0,Na příkopě,959/27,,bez omezení
15,Ostrovského 464,69,,,,,
16,Mukařovského 1985,68,83.0,Mukařovského,1985/5,,bez omezení
17,Štefánikova 218,66,,,,,
18,Prusíkova 2577,64,87.0,Prusíkova,2577/16,,bez omezení
19,Na příkopě 391,63,5.0,Na příkopě ,391/7,,bez omezení
20,Švehlova 1391,61,93.0,Švehlova,1391/32,,bez omezení
21,Ostrovského 253,60,,,,,
22,náměstí Jiřího z Poděbrad 853,59,25.0,náměstí Jiřího z Poděbrad,853/16,,bez omezení
23,Štefánikova 230,57,,,,,
24,Brandlova 1599,57,,,,,
25,Novodvorská 1800,56,,,,,
26,Na příkopě 852,56,6.0,Na příkopě,852/10,,bez omezení
27,Lidická 312,55,,,,,
28,Roztylská 2321,54,,,,,
29,Petržílkova 2583,54,86.0,Petržílkova,2583/15,,bez omezení
30,Národní 984,53,9.0,Národní,984/15,,bez omezení
31,Českomoravská 2420,50,48.0,Českomoravská,2420/15a,,bez omezení
32,U Obecního domu 660,49,14.0,U Obecního domu,660/3,,bez omezení
33,Václavské náměstí 818,48,18.0,Václavské náměstí,818/45,,bez omezení
34,Olštýnská 607,48,39.0,Olštýnská,607/1,,bez omezení
35,Řevnická 121,48,101.0,Řevnická,121/1,,10.00-24.00
36,Topolová 2915,47,64.0,Topolová,2915/16,,10.00-22.00
37,Jabloňová 3000,47,58.0,Jabloňová,3000/15,,10.00-22.00
38,Bubenské nábřeží 306,47,,,,,
39,Husitská 109,46,22.0,Husitská,109/66,,bez omezení
40,Hráského 2231,45,76.0,Hráského,2231/25,,bez omezení
41,Koněvova 1956,45,24.0,Koněvova,1956/214,,bez omezení
42,Štúrova 1308,45,,,,,
43,Štefánikova 339,43,,,,,
44,Arkalycká 877,41,72.0,Arkalycká,877/4,,bez omezení
45,Štúrova 1418,41,,,,,
46,Milady Horákové 534,40,,,,,
47,"parc. č. 2534/1, k. ú. Nové Město nan",39,,,,,
48,Opatovská 874,39,78.0,Opatovská,874/25,,bez omezení
49,Prokopova 150,39,26.0,Prokopova,150/19,,bez omezení
50,Na Pankráci 1600,38,,,,,
51,Václavské náměstí 808,38,17.0,Václavské náměstí,808/66,,bez omezení
52,Chlumecká 712,38,,,,,
53,Náchodská 762,37,,,,,
54,Václavské náměstí 799,36,,,,,
55,Laudova 1000,35,96.0,Laudova,1000/28,,bez omezení
56,Jabloňová 2136,34,59.0,Jabloňová,2136/11,,10.00-22.00
57,Rýmařovská 561,32,98.0,Rýmařovská,561,,bez omezení 
58,Veltruská 557,32,56.0,Veltruská,557/27,,bez omezení
59,Václavské náměstí 840,32,19.0,Václavské náměstí,840/5,,bez omezení
60,Hábova 1517,32,82.0,Hábova,1517/5,,bez omezení
61,Trnkovo náměstí 1112,31,,,,,
62,Klapkova 41,30,32.0,Klapkova ,41/3,,bez omezení
63,Václavské náměstí 772,29,,,,,
64,Revoluční 1081,29,13.0,Revoluční,1081/4,,bez omezení
65,plukovníka Mráze 1182,29,,,,,
66,Donovalská 1725,29,,,,,
67,Plzeňská 163,29,,,,,
68,Burešova 1665,28,27.0,Burešova ,1665/5,,bez omezení
69,Milánská 311,28,91.0,Milánská,311,,bez omezení
70,Nad Primaskou 526,28,62.0,Nad Primaskou,526/35,,10.00-22.00
71,Kpt. Stránského 998,28,,,,,
72,Komunardů 1126,27,,,,,
73,Suchý vršek 2122,27,,,,,
74,Hlavní 2459,27,,,,,
75,Na Chodovci 2880,27,,,,,
76,Blažimská 1781,27,74.0,Blažimská,1781/4,,bez omezení
77,Teplická 492,27,55.0,Teplická,492/19,,bez omezení
78,Náměstí bratří Synků 340,26,,,,,
79,Plzeňská 1125,26,,,,,
80,Komunardů 1046,26,,,,,
81,Střelničná 1660,26,45.0,Střelničná,1660/31,,bez omezení
82,Třinecká 673,25,99.0,Třinecká,673,,bez omezení
83,Milevská 1695,25,,,,,
84,Nuselská 1420,25,,,,,
85,Antala Staška 327,25,,,,,
86,Arbesovo náměstí 742,24,,,,,
87,Štúrova 1978,24,,,,,
88,Švehlova 1435,24,94.0,Švehlova,1435/25,,bez omezení
89,Nevanova 1050,24,,,,,
90,Klapkova 1851,24,,,,,
91,Vršovická 787,24,69.0,Vršovická,787/89,,10.00-22.00
92,Mochovská 477,23,90.0,Mochovská,477,,bez omezení
93,Jablonecká 423,23,52.0,Jablonecká,423/70,,bez omezení
94,Nekázanka 877,23,10.0,Nekázanka ,877/17,,bez omezení
95,SKLONĚNÁ 551,23,,,,,
96,Makovského 1179,23,97.0,Makovského,1179/2,,bez omezení
97,Nuselská 171,23,,,,,
98,Na Pankráci 1010,23,,,,,
99,Sokolovská 69,22,44.0,Sokolovská,69/14,,bez omezení
100,Ke Štvanici 379,22,31.0,Ke Štvanici,379/6,,bez omezení
101,Nádražní 31,22,,,,,
102,Nádražní 50,22,,,,,
103,Thámova 21,22,46.0,Thámova,21/34,,bez omezení
104,Koněvova 1686,22,23.0,Koněvova,1686/112,,bez omezení
105,Argentinská 702,22,,,,,
106,Brandlova 1640,22,,,,,
107,Kamenická 552,22,,,,,
108,náměstí Bratří Synků 300,22,,,,,
109,Lodžská 401,22,37.0,Lodžská,401/13,,bez omezení
110,V Olšinách 1017,21,67.0,V Olšinách,1017/33,,10.00-22.00
111,Vojtíškova 1783,21,,,,,
112,Sokolovská 111,21,41.0,Sokolovská,111/36,,bez omezení
113,Sokolovská 615,21,43.0,Sokolovská,615/138,,bez omezení
114,Vršovická 7,21,68.0,Vršovická,7/27,,10.00-22.00
115,Drahobejlova 1598,21,49.0,Drahobejlova,1598/39,,bez omezení
116,Nuselská 204,21,,,,,
117,Perlová 412,21,11.0,Perlová ,412/1,,bez omezení
118,Malešovská 1652,21,100.0,Malešovská ,1652,,bez omezení
119,Plukovníka Mráze 1182,21,92.0,Plukovníka Mráze,1182/24,,bez omezení
120,Valentova 1726,21,80.0,Valentova,1726/6,,bez omezení
121,Nuselská 205,21,,,,,
122,Arkalycká 757,21,73.0,Arkalycká,757/6,,bez omezení
123,Varnsdorfská 340,20,,,,,
124,Na Perštýně 358,20,3.0,Na Perštýně,358/8,,bez omezení
125,Křižíkova 254,20,35.0,Křižíkova,254/5,,bez omezení
126,"parc. č. 3278/3, k. ú. Libeň nan",20,,,,,
127,Krynická 488,20,34.0,Krynická ,488/31,,bez omezení
128,Nádražní 47,20,,,,,
129,Heydukova 897,20,28.0,Heydukova,897/13,,bez omezení
130,Mukařovského 1986,20,84.0,Mukařovského,1986/7,,bez omezení
131,Mochovská 478,19,89.0,Mochovská,478/40,,bez omezení
132,Krejčího 287,19,,,,,
133,Žitomírská 347,19,71.0,Žitomírská,347/17,,10.00-22.00
134,Veronské nám. 403,19,95.0,Veronské nám.,403,,bez omezení
135,Sokolovská 541,19,42.0,Sokolovská,541/198,,bez omezení
136,Ludmilina 1687,19,38.0,Ludmilina,1687/3,,bez omezení
137,Sokolovská 904,19,54.0,Sokolovská,904/244,,bez omezení
138,Moskevská 617,19,61.0,Moskevská,617/58, ,10.00-22.00
139,Opatovská 1753,19,79.0,Opatovská,1753/12,,bez omezení
140,Komunardů 1365,19,,,,,
141,Štúrova 1417,18,,,,,
142,Otakarova 240,18,,,,,
143,Křejpského 1530,18,77.0,Křejpského,1530/4,,bez omezení
144,Dukelských Hrdinů 974,18,,,,,
145,Chabařovická 1796,18,29.0,Chabařovická,1796/13a,,bez omezení
146,Karlická 3,18,,,,,
147,Cíglerova 1139,17,,,,,
148,Vršovická 1489,17,70.0,Vršovická,1489/31,,10.00-22.00
149,Bryksova 779,17,,,,,
150,Hlavatého 664,17,75.0,Hlavatého,664/13,,bez omezení
151,Breitcetlova 771,17,,,,,
152,Štúrova 1701,16,,,,,
153,Křižíkova 345,16,,,,,
154,Milady Horákové 526,16,,,,,
155,Brandlova 1639,16,,,,,
156,Štúrova 1284,16,,,,,
157,Dukelských hrdinů 903,16,,,,,
158,Milady Horákové 141,16,,,,,
159,Horolezecká 868,16,,,,,
160,Křižíkova 55,15,36.0,Křižíkova,55/65,,bez omezení
161,Náchodská 2353,15,,,,,
162,Pujmanové 1220,15,,,,,
163,Zhořelecká 514,15,47.0,Zhořelecká,514/2,,bez omezení
164,Poděbradská 777,15,,,,,
165,Vysočanské náměstí 214,15,57.0,Vysočanské náměstí,214/1,,bez omezení
166,Koněvova 2153,15,,,,,
167,Nádražní 279,15,,,,,
168,Průběžná 387,15,63.0,Průběžná,387/41,,10.00-22.00
169,Vršovická 839,15,,,,,
170,Komunardů 442,14,,,,,
171,Sokolovská 85,14,,,,,
172,Náchodská 694,14,,,,,
173,Kodaňská 81,14,,,,,
174,Hábova 2345,14,,,,,
175,Jablonecká 725,14,53.0,Jablonecká,725/2,,bez omezení
176,Lovosická 778,14,,,,,
177,K Ládví 344,14,30.0,K Ládví,344/4,,bez omezení
178,Seifertova 465,14,,,,,
179,Počernická 473,13,,,,,
180,Sokolovská 325,13,,,,,
181,Nedašovská 346,13,,,,,
182,Drahobejlova 957,13,,,,,
183,Arkalycká 758,13,,,,,
184,Sokolovská 4,13,,,,,
185,Čimická 442,13,,,,,
186,Zázvorkova 25,13,,,,,
187,U Slavie 1540,12,66.0,U Slavie,1540/2a,,10.00-22.00
188,Francouzská 400,12,,,,,
189,Milady Horákové 685,12,,,,,
190,Žitomírská 302,12,,,,,
191,Zdiměřická (Ke Kateřinkám) 1411,11,,,,,
192,Rumburská 572,11,,,,,
193,Libušská 319,11,,,,,
194,Sokolská 486,11,,,,,
195,Božanovská 2085,11,,,,,
196,Milady Horákové 600,11,,,,,
197,V Olšinách 795,11,,,,,
198,Braunerova 514,10,,,,,
199,Milady Horákové 384,10,,,,,
200,Doupovská 1043,10,,,,,
201,Turnovského 263,10,65.0,Turnovského,263/4,,10.00-22.00
202,Mendelova 554,10,,,,,
203,Klapkova 40,10,,,,,
204,Hornoměcholupská 497,10,,,,,
205,Za Návsí 1918,10,,,,,
206,Pod Pekárnami 161,10,,,,,
207,Milady Horákové 492,10,,,,,
208,Vašátkova 1020,10,,,,,
209,Tanvaldská 1348,9,,,,,
210,Novodvorská 1128,9,,,,,
211,U Jezerky 1165,9,,,,,
212,Metodějova 1463,9,,,,,
213,Mezivrší 213,9,,,,,
214,DĚLNICKÁ 1272,9,,,,,
215,Dukelských hrdinů 770,9,,,,,
216,Frýdlantská 1351,9,,,,,
217,Zenklova 131,9,,,,,
218,Křejpského 1752,9,,,,,
219,Kodaňská 1004,9,,,,,
220,Budějovická 1523,8,,,,,
221,Ořešská 797,8,,,,,
222,Na Sádce 659,8,,,,,
223,Sofijské náměstí 3404,8,,,,,
224,Sokolovská 416,8,,,,,
225,Tiskařská 257,8,,,,,
226,Novovysočanská 556,8,,,,,
227,Turnovská 430,8,,,,,
228,Ke Kateřinkám 1411,8,,,,,
229,Francouzská 966,8,,,,,
230,Poděbradská 225,7,,,,,
231,Pod Altánem 9,7,,,,,
232,Zenklova 164,7,,,,,
233,Veletržní 828,7,,,,,
234,Zdiměřická 1411,7,,,,,
235,Milánská 235,7,,,,,
236,Na Dědince 931,6,,,,,
237,Schnirchova 1257,6,,,,,
238,Vyšehradská 413,6,,,,,
239,Krhanická 365,6,,,,,
240,Českomoravská 1308,6,,,,,
241,Hvězdova 1281,6,,,,,
242,GUTOVA 1240,6,,,,,
243,Sokolovská 146,6,,,,,
244,Hornoměcholupská 528,5,,,,,
245,Dělnická 541,5,,,,,
246,Jablonecká 459,5,,,,,
247,Libušská 46,5,,,,,
248,Švehlova 3125,5,,,,,
249,Sokolovská 282,5,,,,,
250,Na Rozcestí 1161,5,,,,,
251,Slévačská 744,5,,,,,
252,Malkovského 608,5,,,,,
253,Makovského 1177,4,,,,,
254,Vinohradská 1233,4,,,,,
255,Jesenická 1410,4,,,,,
256,Ječná 509,4,,,,,
257,Poděbradská 433,4,,,,,
258,Ve Žlíbku 221,4,,,,,
259,Kokořínská 95,4,,,,,
260,Kutnohorská 69,4,,,,,
261,KOMUNARDŮ 883,4,,,,,
262,Vítězné náměstí 829,4,,,,,
263,Šimůnkova 1625,4,,,,,
264,Křižíkova 255,4,,,,,
265,Mladoboleslavská 844,3,,,,,
266,Karlovo náměstí 555,3,,,,,
267,Karlovarská 64,3,,,,,
268,Vinořská 310,3,,,,,
269,Křivoklátská 302,3,,,,,
270,Francouzská 771,3,,,,,
271,Kutnohorská 225,3,,,,,
272,Králodvorská 1085,3,,,,,
273,Klapkova 92,3,33.0,Klapkova,92/41,,bez omezení
274,Muzeum - M nan,3,,,,,
275,Evropská 695,3,,,,,
276,Seifertova 826,3,,,,,
277,Bělehradská 630,3,,,,,
278,Ortenovo náměstí 443,3,,,,,
279,Novosibřinská 879,3,,,,,
280,Thámova 221,3,,,,,
281,Podolská 113,3,,,,,
282,náměstí Bratří Synků 612,2,,,,,
283,V Korytech 1773,2,,,,,
284,Aviatická 1092,2,,,,,
285,Komunardů 883,2,,,,,
286,Ibsenova 1234,2,,,,,
287,Vinohradská 1210,2,,,,,
288,Bínova 531,2,,,,,
289,Karlická 33,2,,,,,
290,Kutnohorská 34,2,,,,,
291,Kodaňská 485,2,60.0,Kodaňská,485/63,,10.00-22.00
292,Mrštíkova 2450,2,,,,,
293,Na příkopě 392,2,,,,,
294,Cukrovarská 90,2,,,,,
295,Karlovo náměstí 292,2,,,,,
296,Kudrnova 234,2,,,,,
297,Galandova 1656,2,,,,,
298,Dukelských hrdinů 769,2,,,,,
299,Makovského 1342,2,,,,,
300,Havelská 508,2,,,,,
301,Ostrovského 411,2,,,,,
302,Nekázanka 883,2,,,,,
303,Radimova 65,2,,,,,
304,Na Bělidle 298,1,,,,,
305,Zdislavická 963,1,,,,,
306,Čs. Armády 872,1,,,,,
307,Harrachovská 340,1,51.0,Harrachovská,340/1,,bez omezení
308,Patočkova 1633,1,,,,,
309,Modletická 1390,1,,,,,
310,Čumpelíkova 1222,1,,,,,
311,Travná 1217,1,,,,,
312,Košická 368,1,,,,,
313,Husitská 107,1,,,,,
314,Radlická 902,1,,,,,
315,Bělohorská 197,1,,,,,
316,Hostivařská 576,1,,,,,
317,Tiskařská 599,1,,,,,
318,Žitavského 495,1,,,,,
319,Nad Šestikopy 322,1,,,,,
320,Bohnická 320,1,,,,,
321,náměstí Winstona Churchilla 1800,1,,,,,
322,Moulíkova 2240,1,,,,,
323,Karmelitská 267,1,,,,,
324,Verneřická 559,1,,,,,
325,Bubenská 106,1,,,,,
326,Černý Most - M nan,1,,,,,
327,Jugoslávská 481,1,,,,,
328,Václavské náměstí 802,1,,,,,
329,Vinohradská 120,1,,,,,
330,Lípová 512,1,,,,,
331,náměstí Protifašistických bojovníků 143,1,,,,,
332,Matěchova 409,1,,,,,
333,Krymská 126,1,,,,,
334,Božanovská 2098,1,,,,,
335,Kosmická 537,1,,,,,
336,Křižíkova 212,1,,,,,
337,Kubánské náměstí 1269,1,,,,,
338,Bělohorská 1395,1,,,,,
339,Jičínská 2348,1,,,,,
340,Wilsonova 300,1,,,,,
341,Horní 1474,1,,,,,
342,Přátelství 372,1,,,,,
343,Černická 961,1,,,,,
